sequence_no,log_id,timestamp,source,service,event_type,severity,risk_label,risk_score,method,endpoint,status_code,response_time_ms,user_id,source_ip,session_id,user_agent,host,environment,trace_id,mitre_tactic,mitre_technique_id,mitre_technique,recommendation,message
1,LOG-C83587824CAA,2026-07-02T09:00:19+05:30,api,api-gateway,request,info,safe,10,GET,/api/reports/export,204,262,trainer,10.0.0.5,sess-80547343,curl/8.1,db-01,development,trace-017d510442344e24,,,,No immediate action required. Continue normal monitoring.,"GET /api/reports/export 204 in 262ms (next.js: 49ms, application-code: 168ms)"
2,LOG-0F1961CFDE5F,2026-07-02T09:00:34+05:30,web,nextjs-app,request,info,safe,3,GET,/dashboard,200,279,guest,10.0.0.5,sess-1c989955,Chrome/126 Windows,api-01,staging,trace-562c7d0f8da84a1e,,,,No immediate action required. Continue normal monitoring.,"GET /dashboard 200 in 279ms (next.js: 5ms, application-code: 271ms)"
3,LOG-7BCC24E21AC7,2026-07-02T09:01:06+05:30,web,nextjs-app,request,info,safe,5,GET,/admin,201,185,guest,10.0.0.8,sess-9d0b3b2c,Python-requests/2.32,db-01,staging,trace-0f6beeedd6084bf9,,,,No immediate action required. Continue normal monitoring.,"GET /admin 201 in 185ms (next.js: 120ms, application-code: 149ms)"
4,LOG-D5FD61051EC9,2026-07-02T09:01:36+05:30,web,api-gateway,request,info,safe,22,GET,/courses,301,334,manager,192.168.1.12,sess-23407924,Safari/17 macOS,worker-01,production,trace-83428acaa9f040c0,,,,No immediate action required. Continue normal monitoring.,"GET /courses 301 in 334ms (next.js: 6ms, application-code: 278ms)"
5,LOG-C1783B960F59,2026-07-02T09:02:27+05:30,web,auth-service,request,info,safe,19,GET,/admin,201,67,john,10.0.0.8,sess-46998af6,curl/8.1,app-02,staging,trace-8a75ae2f687c4f7c,,,,No immediate action required. Continue normal monitoring.,"GET /admin 201 in 67ms (next.js: 80ms, application-code: 49ms)"
6,LOG-A875E07E5F2C,2026-07-02T09:03:28+05:30,web,auth-service,request,info,safe,3,GET,/SIEM-Learning-path,200,410,admin,172.16.0.21,sess-3b8c2018,PostmanRuntime/7.37,db-01,staging,trace-c094c77b9fa0427e,,,,No immediate action required. Continue normal monitoring.,"GET /SIEM-Learning-path 200 in 410ms (next.js: 89ms, application-code: 351ms)"
7,LOG-D0DBDAE7FE49,2026-07-02T09:04:13+05:30,api,auth-service,request,info,safe,14,PATCH,/api/payment,304,607,finance_user,10.0.0.8,sess-c9bfe39c,Python-requests/2.32,app-02,staging,trace-b3309cfefa8046cb,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/payment 304 in 607ms (next.js: 60ms, application-code: 540ms)"
8,LOG-41A3FF9C5ED7,2026-07-02T09:04:45+05:30,web,auth-service,request,info,safe,22,GET,/billing,200,451,finance_user,172.16.0.33,sess-26b9f6c1,Edge/126 Windows,gateway-01,staging,trace-7dca6cc729544554,,,,No immediate action required. Continue normal monitoring.,"GET /billing 200 in 451ms (next.js: 7ms, application-code: 371ms)"
9,LOG-43EA52A3D0FF,2026-07-02T09:04:58+05:30,api,auth-service,request,info,safe,1,PATCH,/api/upload,200,149,student01,192.168.1.11,sess-0d36d00b,Firefox/124 Windows,gateway-01,development,trace-571a8bab28f54ba8,,,,No immediate action required. Continue normal monitoring.,"PATCH /api/upload 200 in 149ms (next.js: 44ms, application-code: 47ms)"
10,LOG-E22CE37F6C92,2026-07-02T09:06:11+05:30,api,auth-service,request,info,safe,2,GET,/api/get-token,200,415,john,192.168.1.10,sess-b31c7c4f,Chrome/126 Windows,app-01,production,trace-920faeba2d2a4773,,,,No immediate action required. Continue normal monitoring.,"GET /api/get-token 200 in 415ms (next.js: 69ms, application-code: 375ms)"
11,LOG-516CEB7072C0,2026-07-02T09:07:30+05:30,web,nextjs-app,request,info,safe,9,GET,/learning-paths,200,567,student01,192.168.1.10,sess-bc5c7823,curl/8.1,web-01,production,trace-6a8203aec1e84875,,,,No immediate action required. Continue normal monitoring.,"GET /learning-paths 200 in 567ms (next.js: 19ms, application-code: 461ms)"
12,LOG-2A3C8BA32F2A,2026-07-02T09:07:48+05:30,web,auth-service,request,info,safe,12,GET,/settings,200,928,hr_user,192.168.1.11,sess-083869d5,Firefox/124 Windows,gateway-01,staging,trace-56d68d2233814bc2,,,,No immediate action required. Continue normal monitoring.,"GET /settings 200 in 928ms (next.js: 97ms, application-code: 900ms)"
13,LOG-A59C9987DF71,2026-07-02T09:08:43+05:30,web,auth-service,request,info,safe,12,GET,/SIEM-Learning-path,200,617,student01,172.16.0.21,sess-0df0f948,curl/8.1,api-01,production,trace-269d3576fc304253,,,,No immediate action required. Continue normal monitoring.,"GET /SIEM-Learning-path 200 in 617ms (next.js: 71ms, application-code: 591ms)"
14,LOG-8958E4E58F17,2026-07-02T09:09:44+05:30,web,nextjs-app,request,info,safe,8,GET,/profile,200,756,api_bot,192.168.1.11,sess-a236e7c8,MobileChrome/126 Android,api-01,development,trace-c122997f952a41bf,,,,No immediate action required. Continue normal monitoring.,"GET /profile 200 in 756ms (next.js: 85ms, application-code: 673ms)"
15,LOG-86A5754BB0FE,2026-07-02T09:09:49+05:30,web,api-gateway,request,info,safe,22,GET,/dashboard,204,775,keerthi,192.168.2.15,sess-3069ad44,Firefox/124 Windows,web-01,production,trace-e9fba9ddbaa2490c,,,,No immediate action required. Continue normal monitoring.,"GET /dashboard 204 in 775ms (next.js: 76ms, application-code: 748ms)"
16,LOG-3FDAF8F4515F,2026-07-02T09:10:42+05:30,api,nextjs-app,request,info,safe,23,DELETE,/api/reports/export,200,798,api_bot,172.16.0.33,sess-1e86b85e,Edge/126 Windows,app-02,development,trace-ec10a19907624649,,,,No immediate action required. Continue normal monitoring.,"DELETE /api/reports/export 200 in 798ms (next.js: 27ms, application-code: 704ms)"
17,LOG-949CB30B3CDD,2026-07-02T09:11:25+05:30,web,api-gateway,request,info,safe,2,GET,/courses,200,934,guest,172.16.0.21,sess-e637a8a4,Safari/17 macOS,db-01,development,trace-18e047030e604d89,,,,No immediate action required. Continue normal monitoring.,"GET /courses 200 in 934ms (next.js: 53ms, application-code: 830ms)"
18,LOG-D59D69193EAC,2026-07-02T09:11:37+05:30,web,auth-service,request,info,safe,20,GET,/settings,200,856,manager,192.168.1.11,sess-974f9a03,Edge/126 Windows,api-01,development,trace-b8f84e4ba50a4aaa,,,,No immediate action required. Continue normal monitoring.,"GET /settings 200 in 856ms (next.js: 33ms, application-code: 807ms)"
